magnitude,cdi,mmi,alert,tsunami,sig,net,dmin,gap,depth
7.2,4,4,green,0,838,us,0.0,17.0,19.0
6.6,0,7,green,0,670,us,0.0,17.6,15.0
7.1,6,6,green,0,834,us,0.0,10.6,135.0
6.5,8,7,green,0,1400,us,0.0,38.6,59.0
6.9,6,7,green,0,847,us,0.0,46.5,24.0
7.1,9,9,green,0,1096,us,0.0,19.7,18.0
6.5,3,6,green,0,655,us,0.0,12.6,37.0
6.9,8,8,green,0,1562,us,0.0,13.0,50.0
6.7,5,5,green,0,712,us,0.0,10.9,30.0
6.7,5,6,green,0,915,us,0.0,15.3,91.0
7.0,7,5,green,0,761,us,0.0,15.3,185.1
7.0,6,6,green,0,913,us,0.0,26.9,147.0
7.1,5,6,green,0,787,us,0.0,12.3,28.0
6.5,0,5,green,0,650,us,0.0,15.0,35.0
7.2,8,6,green,0,813,us,0.0,18.4,32.0
6.6,3,6,green,0,674,us,0.0,16.6,10.0
7.6,3,7,green,0,893,us,0.0,33.5,17.0
6.7,6,6,green,0,749,us,0.0,24.9,33.0
6.8,4,5,green,0,734,us,0.0,12.5,11.0
6.8,5,6,green,0,719,us,0.0,13.0,79.0
6.6,7,7,green,0,822,us,0.0,10.1,11.0
7.1,8,8,green,0,1114,us,0.0,17.7,42.0
6.6,7,6,green,0,897,us,0.0,37.2,166.2
6.9,7,9,green,0,1154,us,0.0,18.2,8.0
6.6,6,5,green,0,673,us,0.0,9.5,25.7
6.5,0,4,green,0,650,us,0.0,18.7,6.8
7.7,7,4,green,0,931,us,0.0,10.8,18.6
7.9,8,7,green,0,1140,us,0.0,48.4,42.6
9.1,9,8,green,0,2184,official,0.0,9.5,29.0
7.3,5,5,green,0,972,us,0.0,17.4,32.0
6.7,5,6,green,0,731,us,0.0,33.9,21.0
6.9,7,7,green,0,988,us,0.0,34.7,26.0
7.2,7,7,green,0,1449,us,0.0,25.3,68.0
7.0,2,5,green,0,755,us,0.0,13.3,9.0
7.2,8,7,green,0,1054,us,0.0,30.1,24.0
7.3,0,5,green,0,820,us,0.0,12.0,16.0
6.7,3,7,green,0,708,us,0.0,24.3,12.0
6.6,0,6,green,0,670,us,0.0,18.5,33.0
7.8,4,7,green,0,946,us,0.0,23.0,20.1
6.7,5,5,green,0,776,us,0.0,50.3,13.0
7.0,8,5,green,0,772,us,0.0,15.1,26.0
7.0,8,8,green,0,1245,us,0.0,15.8,12.0
7.1,6,5,green,0,945,us,0.0,12.4,206.7
7.3,7,7,green,0,850,us,0.0,20.2,25.0
7.0,4,6,green,0,757,us,0.0,12.7,44.0
6.5,5,4,green,0,659,us,0.0,11.1,220.0
7.6,5,3,green,0,902,us,0.0,15.1,578.0
7.3,8,7,green,0,831,us,0.0,18.2,35.0
6.9,4,7,green,0,737,us,0.0,15.7,28.0
6.6,6,7,green,0,753,us,0.0,52.8,22.0
6.7,5,6,green,0,696,us,0.0,18.7,35.0
6.6,0,7,green,0,670,us,0.0,25.0,10.5
7.0,3,7,green,0,755,us,0.0,18.1,18.0
7.5,6,5,green,0,1144,us,0.0,18.6,35.0
7.2,5,6,green,0,804,us,0.0,11.7,31.0
7.2,5,6,green,0,918,us,0.0,20.6,38.0
6.9,6,9,green,0,773,us,0.0,14.9,17.0
6.9,4,5,green,0,740,us,0.0,12.1,21.0
7.8,0,7,green,0,936,us,0.0,19.2,31.0
7.2,9,9,red,0,2910,ci,0.5137,239.0,9.987
6.6,5,6,green,0,701,us,0.0,16.7,34.0
6.7,5,6,green,0,856,us,0.0,34.7,18.0
6.5,6,5,green,0,810,us,0.0,27.0,32.0
7.0,7,7,green,0,874,us,0.0,17.1,18.0
6.9,7,7,green,0,1280,us,0.0,12.5,11.0
6.8,4,6,green,0,717,us,0.0,23.2,26.0
6.6,7,7,green,0,736,us,0.0,27.8,18.0
6.5,0,4,green,0,650,us,0.0,18.7,176.0
7.4,0,5,green,0,842,us,0.0,17.6,35.0
8.8,8,8,green,0,1991,official,0.0,17.8,22.9
7.0,6,6,green,0,1180,us,0.0,15.7,25.0
7.0,9,9,green,0,1623,us,0.0,22.7,13.0
6.5,7,7,green,0,1360,nc,0.3225,220.0,28.737
6.8,3,6,green,0,713,us,0.0,15.0,15.4
7.1,5,7,green,0,780,us,0.0,15.0,10.0
6.6,5,7,green,0,672,us,0.0,16.6,10.0
6.5,6,7,green,0,698,us,0.0,17.7,27.0
7.3,0,4,green,0,820,us,0.0,15.0,595.0
6.6,7,6,green,0,677,us,0.0,20.4,18.0
6.8,0,6,green,0,711,us,0.0,21.4,34.0
6.9,4,6,green,0,972,us,0.0,11.0,130.0
6.8,0,5,green,0,711,us,0.0,30.2,35.0
7.4,0,7,green,0,842,us,0.0,20.2,31.1
7.8,0,6,green,0,936,us,0.0,20.3,35.0
7.7,4,7,green,0,916,us,0.0,23.2,45.0
6.6,7,7,green,0,787,us,0.0,30.1,9.0
7.6,8,8,green,0,1639,us,0.0,14.0,81.0
8.1,7,6,green,0,1055,us,0.0,20.8,18.0
7.0,7,7,green,0,1175,us,0.0,16.3,46.0
6.7,5,6,green,0,753,us,0.0,14.9,20.0
6.6,4,5,green,0,703,us,0.0,14.1,53.0
7.5,7,6,green,0,1248,us,0.0,18.2,24.0
7.1,5,4,green,0,1005,us,0.0,14.2,292.0
6.9,5,7,green,0,1202,us,0.0,35.0,10.0
7.8,6,8,green,0,1165,us,0.0,16.8,12.0
6.7,5,5,green,0,693,us,0.0,13.8,64.0
7.3,7,8,green,0,1560,us,0.0,27.2,19.0
7.6,7,5,green,0,916,us,0.0,14.0,31.0
7.2,3,7,green,0,802,us,0.0,18.6,20.0
7.4,7,7,green,0,846,us,0.0,21.1,23.0
6.6,5,4,green,0,765,us,0.0,22.6,204.8
7.7,5,7,green,0,918,us,0.0,29.8,17.0
7.4,9,7,green,0,848,us,0.0,33.7,30.0
6.7,5,6,green,0,731,us,0.0,28.6,24.0
6.7,0,6,green,0,691,us,0.0,22.3,27.4
6.8,0,6,green,0,711,us,0.0,22.2,25.0
6.6,0,6,green,0,670,us,0.0,14.1,96.0
6.9,0,6,green,0,732,us,0.0,14.9,110.0
6.7,4,7,green,0,692,us,0.0,28.0,12.0
6.8,8,7,green,0,1046,us,0.0,20.2,108.0
7.0,5,5,green,0,840,us,0.0,18.2,22.0
6.9,5,5,green,0,825,duputel,0.0,0.0,25.5
6.6,4,5,green,0,680,us,0.0,18.4,17.0
6.9,7,8,green,0,888,us,0.0,17.1,7.8
7.9,9,9,green,0,1870,us,0.0,11.3,19.0
6.9,5,5,green,0,910,us,0.0,21.1,27.0
7.3,0,6,green,0,820,us,0.0,13.4,33.0
7.2,0,7,green,0,798,us,0.0,25.9,10.0
6.9,4,5,green,0,740,us,0.0,25.9,24.0
6.7,5,6,green,0,696,us,0.0,15.1,25.0
6.6,4,6,green,0,674,us,0.0,17.7,25.0
7.2,4,7,green,0,832,us,0.0,18.4,25.0
6.5,4,6,green,0,654,us,0.0,28.3,22.0
7.4,5,7,green,0,914,us,0.0,16.4,26.0
6.5,8,5,green,0,692,us,0.0,30.7,28.0
6.9,6,6,green,0,941,us,0.0,30.6,29.0
6.5,7,6,green,0,723,us,0.0,27.6,83.0
6.6,7,6,green,0,808,us,0.0,18.8,20.0
6.7,5,7,green,0,704,us,0.0,30.3,45.0
7.4,7,7,green,0,1542,us,0.0,13.4,156.0
6.6,3,6,green,0,672,us,0.0,26.9,16.0
6.5,5,7,green,0,653,us,0.0,27.6,18.0
6.5,7,7,green,0,657,us,0.0,27.5,20.0
6.8,6,6,green,0,722,us,0.0,15.9,53.0
6.8,7,6,green,0,790,us,0.0,27.0,122.9
6.8,6,7,green,0,716,us,0.0,40.1,26.0
7.7,8,7,green,0,995,us,0.0,22.4,40.0
6.8,3,5,green,0,713,us,0.0,23.9,21.0
6.8,4,7,green,0,744,us,0.0,19.0,18.0
6.8,4,5,green,0,713,us,0.0,15.5,40.0
6.7,3,5,green,0,696,us,0.0,26.9,30.0
7.0,4,7,green,0,768,us,0.0,23.1,22.0
6.5,0,5,green,0,650,us,0.0,26.2,28.9
7.9,8,7,green,0,1133,us,0.0,29.1,35.0
7.8,7,8,green,0,1152,duputel,0.0,0.0,40.5
8.4,0,6,green,0,1086,official,0.0,32.3,34.0
6.8,5,6,green,0,747,us,0.0,17.6,15.0
7.2,0,5,green,0,798,us,0.0,21.3,35.0
6.5,5,6,green,0,675,us,0.0,12.8,15.0
8.0,9,8,green,0,1385,us,0.0,25.7,39.0
7.5,0,5,green,0,865,us,0.0,30.7,280.0
7.2,7,7,green,0,803,us,0.0,20.4,120.0
6.9,3,5,green,0,734,us,0.0,24.1,25.0
6.8,5,4,green,0,779,us,0.0,18.2,350.4
6.6,8,8,green,0,831,us,0.0,16.7,12.0
6.7,6,6,green,0,972,us,0.0,37.7,23.0
6.9,0,7,green,0,732,us,0.0,15.3,10.0
6.6,0,7,green,0,670,us,0.0,16.0,10.0
8.1,9,8,green,0,1025,us,0.0,14.7,24.0
6.7,7,8,green,0,782,us,0.0,23.9,8.0
7.1,3,6,green,0,779,us,0.0,25.3,34.0
6.7,0,6,green,0,691,us,0.0,40.3,12.0
7.5,6,5,green,0,874,us,0.0,21.6,22.0
8.1,4,5,green,0,1034,us,0.0,14.0,10.0
6.9,6,7,green,0,798,us,0.0,31.6,10.0
7.1,8,7,green,0,1023,us,0.0,29.1,10.0
8.3,4,7,green,0,1064,us,0.0,20.9,10.0
6.6,0,6,green,0,670,us,0.0,18.6,11.0
6.7,5,6,green,0,732,us,0.0,53.4,23.0
6.7,5,6,green,0,692,us,0.0,15.6,32.0
6.7,8,9,green,0,1481,hv,0.0,124.0,38.182
6.9,3,3,green,0,737,us,0.0,20.9,28.0
6.8,0,6,green,0,711,us,0.0,28.4,38.0
6.5,0,6,green,0,650,us,0.0,47.4,43.0
6.8,5,5,green,0,713,us,0.0,26.2,150.0
7.7,7,5,green,0,947,us,0.0,36.8,20.0
6.5,0,6,green,0,650,us,0.0,20.3,34.0
6.6,0,7,green,0,670,us,0.0,28.0,19.0
6.8,4,5,green,0,719,us,0.0,16.3,12.0
8.0,7,7,green,0,1013,us,0.0,20.7,55.0
8.0,8,9,green,0,1026,duputel,0.0,0.0,60.5
6.5,7,7,green,0,653,us,0.0,46.3,12.0
6.7,6,7,green,0,696,us,0.0,25.6,12.0
6.6,0,8,green,0,670,us,0.0,28.4,11.0
7.6,0,8,green,0,889,us,0.0,18.5,22.0
6.5,3,5,green,0,654,us,0.0,25.5,14.0
6.7,0,7,green,0,691,us,0.0,21.3,30.1
7.0,5,9,green,0,891,us,0.0,23.2,11.0
6.7,7,6,green,0,934,us,0.0,19.7,66.0
6.6,7,6,green,0,703,us,0.0,48.2,14.0
6.5,6,5,green,0,721,us,0.0,20.5,224.6
6.8,5,7,green,0,744,us,0.0,20.0,22.0
6.5,4,5,green,0,683,us,0.0,48.8,29.0
6.5,3,6,green,0,651,us,0.0,20.7,21.0
6.8,0,6,green,0,711,us,0.0,30.1,147.0
7.6,9,9,green,0,1267,us,0.0,21.1,26.0
6.6,0,6,green,0,670,us,0.0,17.7,25.0
7.5,8,7,green,0,1018,us,0.0,26.2,115.0
7.6,5,7,green,0,891,us,0.0,20.0,90.0
7.2,7,7,green,0,1104,us,0.0,19.6,36.0
7.2,4,5,green,0,808,us,0.0,26.4,16.0
6.7,3,6,green,0,693,us,0.0,22.3,21.0
6.6,6,5,green,0,719,us,0.0,21.1,27.0
7.2,5,4,green,0,1318,us,0.0,31.4,16.0
7.8,8,7,green,0,1020,us,0.0,16.1,115.6
6.9,5,7,green,0,740,us,0.0,26.0,30.0
6.7,6,5,green,0,731,us,0.0,20.9,34.0
6.5,3,6,green,0,657,us,0.0,21.2,30.0
6.7,5,6,green,0,717,us,0.0,21.2,19.0
8.6,0,8,green,0,1138,official,0.0,22.1,30.0
6.6,8,7,green,0,805,us,0.0,22.9,10.0
7.1,0,5,green,0,776,us,0.0,18.1,201.7
6.8,0,6,green,0,711,us,0.0,33.8,36.0
6.5,0,7,green,0,650,us,0.0,31.8,10.0
6.5,3,5,green,0,652,us,0.0,47.3,39.7
6.7,0,4,green,0,691,us,0.0,30.2,206.3
7.1,7,3,green,0,782,us,0.0,26.4,525.0
6.6,6,4,green,0,676,us,0.0,78.5,27.8
6.6,0,5,green,0,670,us,0.0,31.9,16.1
7.2,5,6,green,0,802,us,0.0,27.9,39.2
9.1,0,8,green,0,1274,official,0.0,22.0,30.0
8.1,0,5,green,0,1009,us,0.0,59.3,10.0
6.8,5,6,green,0,858,us,0.0,21.8,10.0
6.8,4,7,green,0,724,us,0.0,23.6,35.0
7.0,4,7,green,0,771,us,0.0,23.9,39.0
7.1,0,7,green,0,776,us,0.0,28.8,10.0
7.1,5,5,green,0,782,us,0.0,14.7,10.0
7.2,8,8,green,0,820,us,0.0,50.2,15.0
7.5,5,7,green,0,870,us,0.0,33.8,10.0
6.7,0,6,green,0,691,us,0.0,21.5,10.0
6.7,7,4,green,0,703,us,0.0,37.3,10.0
6.6,0,8,green,0,670,us,0.0,37.0,16.0
6.7,5,6,green,0,705,us,0.0,24.7,94.0
7.0,0,6,green,0,754,us,0.0,32.2,35.0
6.5,5,5,green,0,665,us,0.0,18.3,105.0
6.8,0,6,green,0,711,us,0.0,15.7,36.0
6.6,0,4,green,0,670,us,0.0,29.8,10.0
7.4,0,5,green,0,842,us,0.0,27.5,10.0
7.2,0,5,green,0,798,us,0.0,28.4,14.0
6.5,0,7,green,0,650,us,0.0,30.1,5.0
6.5,0,7,green,0,650,us,0.0,39.0,13.4
6.9,0,5,green,0,732,us,0.0,31.2,188.6
6.6,0,7,green,0,670,us,0.0,46.9,21.0
6.7,0,5,green,0,691,us,0.0,27.6,65.8
6.5,0,4,green,0,650,us,0.0,29.9,228.4
6.6,0,4,green,0,670,us,0.0,18.3,187.1
6.7,0,7,green,0,691,us,0.0,33.3,25.7
7.3,0,7,green,0,820,us,0.0,23.0,10.0
7.0,0,7,green,0,754,us,0.0,33.0,16.6
6.7,0,6,green,0,691,us,0.0,42.5,17.4
7.3,0,4,green,0,820,us,0.0,46.6,10.0
6.6,0,9,green,0,670,us,0.0,44.8,10.0
6.5,0,6,green,0,650,us,0.0,48.4,33.0
6.5,7,9,green,0,1390,nc,0.04685,71.0,8.382
6.8,0,7,green,0,711,us,0.0,27.7,10.0
6.6,0,6,green,0,670,us,0.0,25.1,35.0
6.5,0,6,green,0,650,us,0.0,45.9,35.0
6.6,0,5,green,0,670,us,0.0,26.2,113.7
7.0,0,5,green,0,754,us,0.0,61.2,10.0
6.7,0,6,green,0,691,us,0.0,55.4,32.0
6.7,0,7,green,0,691,us,0.0,24.5,10.0
6.5,0,5,green,0,650,us,0.0,71.3,25.0
7.3,0,7,green,0,820,us,0.0,24.5,16.0
7.4,0,7,green,0,842,us,0.0,78.8,33.0
8.16,0,9,green,0,1024,official,0.0,0.0,27.0
6.6,0,7,green,0,670,us,0.0,24.7,10.0
7.2,0,7,green,0,798,us,0.0,17.5,28.0
7.6,0,6,green,0,889,us,0.0,25.2,10.0
6.5,0,6,green,0,650,us,0.0,31.4,33.0
6.8,0,7,green,0,711,us,0.0,39.1,33.0
6.9,0,5,green,0,732,us,0.0,26.7,174.8
6.6,0,6,green,0,670,us,0.0,27.8,33.0
7.0,0,6,green,0,754,us,0.0,30.3,31.0
7.0,0,7,green,0,754,us,0.0,19.1,68.0
6.8,0,9,green,0,711,us,0.0,19.4,12.0
6.5,0,7,green,0,650,us,0.0,28.7,33.0
6.8,0,7,green,0,711,us,0.0,38.4,40.2
7.6,0,7,green,0,889,us,0.0,0.0,24.0
6.5,0,6,green,0,650,us,0.0,0.0,24.0
7.3,0,6,green,0,820,us,0.0,0.0,33.0
6.7,0,5,green,0,691,us,0.0,0.0,71.9
6.7,0,6,green,0,691,us,0.0,0.0,34.0
7.9,8,9,green,0,1750,ak,0.0,0.0,4.2
7.4,0,7,green,0,842,us,0.0,0.0,30.0
6.6,0,7,green,0,670,ak,0.0,0.0,4.2
6.7,0,7,green,0,691,us,0.0,0.0,10.0
7.6,0,7,green,0,889,us,0.0,0.0,10.0
6.5,0,6,green,0,650,us,0.0,0.0,21.0
7.6,0,7,green,0,889,us,0.0,0.0,13.0
6.5,0,4,green,0,650,us,0.0,0.0,30.0
6.5,0,7,green,0,650,us,0.0,0.0,10.0
6.5,0,8,green,0,650,us,0.0,0.0,10.0
6.6,0,7,green,0,670,us,0.0,0.0,54.0
6.7,0,5,green,0,691,us,0.0,0.0,33.0
7.1,0,7,green,0,776,us,0.0,0.0,85.7
6.7,0,7,green,0,691,us,0.0,0.0,62.0
6.8,0,6,green,0,711,us,0.0,0.0,24.9
7.1,0,6,green,0,776,us,0.0,0.0,32.8
6.5,0,5,green,0,650,us,0.0,0.0,125.1
7.5,0,7,green,0,865,us,0.0,0.0,31.0
7.4,0,5,green,0,842,us,0.0,0.0,225.6
6.6,0,6,green,0,670,us,0.0,0.0,39.0
6.5,0,7,green,0,650,us,0.0,0.0,5.0
6.7,0,8,green,0,691,us,0.0,0.0,11.0
6.6,0,6,green,0,670,us,0.0,0.0,10.0
7.2,0,6,green,0,798,us,0.0,0.0,21.0
6.8,0,7,green,0,711,us,0.0,0.0,16.0
6.8,0,5,green,0,711,us,0.0,0.0,14.0
6.5,0,5,green,0,650,us,0.0,0.0,123.8
7.8,0,9,green,0,936,us,0.0,0.0,10.0
7.0,0,7,green,0,754,us,0.0,0.0,33.0
7.5,0,6,green,0,865,us,0.0,0.0,33.0
7.0,0,6,green,0,754,us,0.0,0.0,37.0
6.5,0,6,green,0,650,us,0.0,0.0,33.0
6.6,6,6,green,0,754,ak,0.0,0.0,131.8
6.5,0,8,green,0,650,us,0.0,0.0,10.0
7.6,0,7,green,0,889,us,0.0,0.0,33.0
6.6,0,7,green,0,670,us,0.0,0.0,62.0
6.7,0,6,green,0,691,us,0.0,0.0,24.0
8.4,0,8,green,0,1086,official,0.0,0.0,33.0
6.7,0,6,green,0,691,us,0.0,0.0,17.0
6.8,0,7,green,0,711,us,0.0,0.0,50.0
6.5,0,6,green,0,650,us,0.0,0.0,33.0
6.8,7,7,green,0,1441,uw,0.0,31.0,51.798
7.1,0,7,green,0,776,us,0.0,0.0,35.0
7.4,0,6,green,0,842,us,0.0,0.0,36.0
6.6,0,8,green,0,670,us,0.0,0.0,10.0
7.7,0,9,green,0,912,us,0.0,0.0,16.0
6.9,0,6,green,0,732,us,0.0,0.0,28.0
7.7,0,8,green,0,912,us,0.0,0.0,60.0
6.9,5,7,green,0,745,ak,0.0,0.0,36.4
7.1,0,7,green,0,776,us,0.0,0.0,103.0
6.8,0,5,green,0,711,us,0.0,0.0,33.0
7.5,0,7,green,0,865,us,0.0,0.0,33.0
6.5,0,7,green,0,650,us,0.0,0.0,31.0
7.0,0,7,green,0,754,us,0.0,0.0,30.0
6.5,0,6,green,0,650,us,0.0,0.0,33.0
6.8,0,6,green,0,711,us,0.0,0.0,50.4
6.8,0,6,green,0,711,us,0.0,0.0,33.0
6.6,0,6,green,0,670,us,0.0,0.0,33.0
7.8,0,7,green,0,936,us,0.0,0.0,33.0
6.5,0,6,green,0,650,us,0.0,0.0,33.0
7.8,0,7,green,0,936,us,0.0,0.0,30.0
8.0,0,7,green,0,985,us,0.0,0.0,33.0
6.5,0,7,green,0,650,us,0.0,0.0,17.0
7.0,0,7,green,0,754,us,0.0,0.0,50.0
6.8,0,6,green,0,711,us,0.0,0.0,38.0
6.7,0,8,green,0,691,us,0.0,0.0,10.0
7.0,0,7,green,0,754,us,0.0,0.0,23.0
6.5,0,6,green,0,650,us,0.0,0.0,34.0
6.8,0,6,green,0,711,us,0.0,0.0,16.0
6.5,0,6,green,0,650,us,0.0,0.0,45.8
6.8,0,7,green,0,711,us,0.0,0.0,10.0
6.6,0,6,green,0,670,us,0.0,0.0,33.0
6.5,0,7,green,0,650,us,0.0,0.0,10.0
6.6,0,5,green,0,670,us,0.0,0.0,10.0
6.5,0,6,green,0,650,ak,0.0,0.0,42.9
6.5,0,9,green,0,650,us,0.0,0.0,10.0
7.9,0,5,green,0,960,us,0.0,0.0,10.0
6.5,0,8,green,0,650,us,0.0,0.0,10.0
6.7,0,5,green,0,691,us,0.0,0.0,33.0
6.7,0,5,green,0,691,us,0.0,0.0,33.0
7.9,0,8,green,0,960,us,0.0,0.0,33.0
7.2,0,5,green,0,798,us,0.0,0.0,225.0
7.6,0,7,green,0,889,us,0.0,0.0,26.0
6.6,0,8,green,0,670,us,0.0,0.0,10.0
6.6,0,6,green,0,670,us,0.0,0.0,33.0
6.8,0,6,green,0,711,us,0.0,0.0,61.1
7.2,0,6,green,0,798,us,0.0,0.0,183.4
6.9,0,6,green,0,732,us,0.0,0.0,33.0
6.5,0,6,green,0,650,us,0.0,0.0,56.0
7.3,0,7,green,0,820,us,0.0,0.0,33.0
7.0,0,7,green,0,754,ak,0.0,0.0,43.6
6.6,0,5,green,0,670,us,0.0,0.0,128.1
7.5,0,7,green,0,865,us,0.0,0.0,33.0
7.0,0,6,green,0,754,us,0.0,0.0,33.0
6.9,0,6,green,0,732,us,0.0,0.0,47.5
7.2,0,9,green,0,798,us,0.0,0.0,10.0
6.5,0,4,green,0,650,us,0.0,0.0,228.4
7.1,8,8,green,0,1576,ci,0.0,57.0,13.73
7.5,0,8,green,0,865,us,0.0,0.0,60.6
6.5,0,7,green,0,650,us,0.0,0.0,17.0
7.7,0,9,green,0,912,us,0.0,0.0,33.0
6.6,0,6,green,0,670,us,0.0,0.0,33.0
6.9,0,6,green,0,732,us,0.0,0.0,20.0
7.6,0,9,green,0,889,us,0.0,0.0,17.0
6.7,0,8,green,0,691,us,0.0,0.0,10.0
7.0,0,7,green,0,754,us,0.0,0.0,70.0
6.6,0,5,green,0,670,us,0.0,0.0,27.0
7.1,0,7,green,0,776,us,0.0,0.0,73.7
7.1,0,7,green,0,776,us,0.0,0.0,138.0
6.8,0,5,green,0,711,us,0.0,0.0,164.2
7.4,0,7,green,0,842,us,0.0,0.0,150.0
6.8,0,7,green,0,711,us,0.0,0.0,87.2
6.6,0,7,green,0,670,us,0.0,0.0,15.0
6.9,0,6,green,0,732,us,0.0,0.0,33.0
6.9,0,5,green,0,732,us,0.0,0.0,56.6
7.1,0,6,green,0,776,us,0.0,0.0,33.0
6.6,0,7,green,0,670,us,0.0,0.0,33.0
7.3,0,7,green,0,820,us,0.0,0.0,90.1
6.6,0,6,green,0,670,us,0.0,0.0,67.2
7.0,0,7,green,0,754,us,0.0,0.0,114.1
6.8,0,5,green,0,711,us,0.0,0.0,144.3
7.7,0,7,green,0,912,us,0.0,0.0,33.0
7.0,0,7,green,0,754,us,0.0,0.0,33.0
6.7,0,6,green,0,691,us,0.0,0.0,33.0
6.6,0,5,green,0,670,us,0.0,0.0,151.6
6.6,0,6,green,0,670,us,0.0,0.0,27.0
6.8,0,5,green,0,711,us,0.0,0.0,50.0
7.2,0,7,green,0,798,us,0.0,0.0,33.0
6.7,0,6,green,0,691,us,0.0,0.0,33.0
7.0,0,7,green,0,754,us,0.0,0.0,10.0
7.0,0,7,green,0,754,us,0.0,0.0,110.2
6.6,0,6,green,0,670,us,0.0,0.0,33.0
6.6,0,8,green,0,670,us,0.0,0.0,24.0
6.7,0,6,green,0,691,us,0.0,0.0,33.0
6.6,0,6,green,0,670,us,0.0,0.0,61.4
7.5,0,5,green,0,865,us,0.0,0.0,33.0
6.6,0,5,green,0,670,us,0.0,0.0,164.6
7.0,0,6,green,0,754,us,0.0,0.0,55.7
6.6,0,8,green,0,670,us,0.0,0.0,9.0
7.1,0,7,green,0,776,us,0.0,0.0,42.0
6.7,0,6,green,0,691,us,0.0,0.0,23.4
6.6,0,7,green,0,670,us,0.0,0.0,34.8
6.6,0,6,green,0,670,us,0.0,0.0,33.0
7.2,0,6,green,0,798,us,0.0,0.0,179.3
7.8,0,7,green,0,936,us,0.0,0.0,33.0
7.0,0,6,green,0,754,us,0.0,0.0,24.0
6.6,0,7,green,0,670,us,0.0,0.0,33.0
7.0,0,6,green,0,754,us,0.0,0.0,123.1
6.5,0,4,green,0,650,us,0.0,0.0,176.4
7.5,0,7,green,0,865,us,0.0,0.0,33.0
7.2,0,7,green,0,798,us,0.0,0.0,112.0
7.1,0,7,green,0,776,us,0.0,0.0,58.0
7.8,0,7,green,0,936,us,0.0,0.0,167.3
6.5,0,5,green,0,650,us,0.0,0.0,105.6
6.8,0,5,green,0,711,us,0.0,0.0,198.7
6.6,0,6,green,0,670,us,0.0,0.0,22.8
6.9,0,6,green,0,732,us,0.0,0.0,33.0
7.0,0,8,green,0,754,us,0.0,0.0,19.9
6.8,0,6,green,0,711,us,0.0,0.0,19.0
6.5,0,6,green,0,650,us,0.0,0.0,70.0
6.8,0,6,green,0,711,us,0.0,0.0,57.0
6.5,0,4,green,0,650,us,0.0,0.0,196.0
7.3,0,9,green,0,820,us,0.0,0.0,10.0
6.5,0,6,green,0,650,us,0.0,0.0,100.8
6.7,0,7,green,0,691,us,0.0,0.0,5.0
7.7,0,6,green,0,912,us,0.0,0.0,33.0
6.5,0,6,green,0,650,us,0.0,0.0,69.1
6.9,0,5,green,0,732,us,0.0,0.0,10.0
7.1,0,6,green,0,776,us,0.0,0.0,33.0
6.5,0,8,green,0,650,us,0.0,0.0,10.0
7.2,0,7,green,0,798,us,0.0,0.0,33.0
6.5,0,4,green,0,650,us,0.0,0.0,226.5
6.7,0,6,green,0,691,us,0.0,0.0,49.2
6.9,0,7,green,0,732,us,0.0,0.0,33.0
7.7,0,7,green,0,912,us,0.0,0.0,33.0
6.7,0,7,green,0,691,us,0.0,0.0,22.0
6.6,0,7,green,0,670,us,0.0,0.0,10.0
6.8,0,6,green,0,711,us,0.0,0.0,24.0
6.8,0,6,green,0,711,us,0.0,0.0,33.0
6.6,0,6,green,0,670,us,0.0,0.0,33.0
6.6,0,6,green,0,670,us,0.0,0.0,33.0
6.8,0,6,green,0,711,us,0.0,0.0,20.0
6.9,0,6,green,0,732,us,0.0,0.0,33.0
7.0,0,6,green,0,754,us,0.0,0.0,33.0
6.6,0,6,green,0,670,us,0.0,0.0,33.0
6.8,0,6,green,0,711,us,0.0,0.0,18.3
7.9,0,4,green,0,960,us,0.0,0.0,587.3
7.1,0,6,green,0,776,us,0.0,0.0,33.0
7.3,0,7,green,0,820,us,0.0,0.0,26.3
7.9,0,7,green,0,960,us,0.0,0.0,33.0
6.7,0,4,green,0,691,us,0.0,0.0,200.1
7.2,0,6,green,0,798,us,0.0,0.0,44.0
6.6,0,7,green,0,670,us,0.0,0.0,49.5
6.7,0,5,green,0,691,us,0.0,0.0,164.4
6.7,0,6,green,0,691,us,0.0,0.0,33.0
6.6,0,6,green,0,670,us,0.0,0.0,33.0
7.1,0,7,green,0,776,us,0.0,0.0,21.1
7.5,0,6,green,0,865,us,0.0,0.0,10.0
6.5,0,6,green,0,650,us,0.0,0.0,31.9
6.5,0,6,green,0,650,us,0.0,0.0,19.2
8.09,0,8,green,0,1007,official,0.0,0.0,33.0
6.7,0,4,green,0,691,us,0.0,0.0,40.8
7.2,0,6,green,0,798,us,0.0,0.0,42.6
6.6,0,10,green,0,670,us,0.0,0.0,11.1
6.6,0,7,green,0,670,us,0.0,0.0,33.0
7.9,0,8,green,0,960,us,0.0,0.0,24.0
7.1,0,6,green,0,776,us,0.0,0.0,141.9
6.5,0,6,green,0,650,us,0.0,0.0,63.4
7.9,0,6,green,0,960,us,0.0,0.0,33.0
7.2,0,9,green,0,798,us,0.0,0.0,10.0
6.7,0,7,green,0,691,us,0.0,0.0,19.9
7.2,0,6,green,0,798,us,0.0,0.0,159.3
6.8,0,6,green,0,711,us,0.0,0.0,19.7
7.1,0,6,green,0,776,us,0.0,0.0,28.4
